URL,GIT
/gitlab/chaws/noosfero,http://softwarepublico.gov.br/gitlab/chaws/noosfero.git
/gitlab/chaws/softwarepublico,http://softwarepublico.gov.br/gitlab/chaws/softwarepublico.git
/gitlab/chaws/teste_envio_email,http://softwarepublico.gov.br/gitlab/chaws/teste_envio_email.git
/gitlab/citsmart/citsmart,http://softwarepublico.gov.br/gitlab/citsmart/citsmart.git
/gitlab/citsmart-grp/cit-grp-adm-materiais,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-adm-materiais.git
/gitlab/citsmart-grp/cit-grp-alcada,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-alcada.git
/gitlab/citsmart-grp/cit-grp-almoxarifado,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-almoxarifado.git
/gitlab/citsmart-grp/cit-grp-contratos,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-contratos.git
/gitlab/citsmart-grp/cit-grp-corporativo,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-corporativo.git
/gitlab/citsmart-grp/cit-grp-ecm,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-ecm.git
/gitlab/citsmart-grp/cit-grp-esi,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-esi.git
/gitlab/citsmart-grp/cit-grp-esi-listener,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-esi-listener.git
/gitlab/citsmart-grp/cit-grp-modules,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-modules.git
/gitlab/citsmart-grp/cit-grp-patrimonio,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-patrimonio.git
/gitlab/citsmart-grp/cit-grp-tabelas-corp,http://softwarepublico.gov.br/gitlab/citsmart-grp/cit-grp-tabelas-corp.git
/gitlab/citsmart-grp/citsmartcorporativo,http://softwarepublico.gov.br/gitlab/citsmart-grp/citsmartcorporativo.git
/gitlab/cjmuller/mod-sei-pesquisa,http://softwarepublico.gov.br/gitlab/cjmuller/mod-sei-pesquisa.git
/gitlab/cleber2506/i-educar,http://softwarepublico.gov.br/gitlab/cleber2506/i-educar.git
/gitlab/clelson/ocr-server,http://softwarepublico.gov.br/gitlab/clelson/ocr-server.git
/gitlab/cmontezano/i-educar,http://softwarepublico.gov.br/gitlab/cmontezano/i-educar.git
/gitlab/cmsz/i-educar,http://softwarepublico.gov.br/gitlab/cmsz/i-educar.git
/gitlab/cocar/cocar,http://softwarepublico.gov.br/gitlab/cocar/cocar.git
/gitlab/composer/composer,http://softwarepublico.gov.br/gitlab/composer/composer.git
/gitlab/cortex/cortex,http://softwarepublico.gov.br/gitlab/cortex/cortex.git
/gitlab/cpicanco/free-mtrix,http://softwarepublico.gov.br/gitlab/cpicanco/free-mtrix.git
/gitlab/curupira/curupira,http://softwarepublico.gov.br/gitlab/curupira/curupira.git
/gitlab/daniela/participa-event-theme,http://softwarepublico.gov.br/gitlab/daniela/participa-event-theme.git
/gitlab/daniloanobre/cineacesso,http://softwarepublico.gov.br/gitlab/daniloanobre/cineacesso.git
/gitlab/darksshades/sampleproject,http://softwarepublico.gov.br/gitlab/darksshades/sampleproject.git
/gitlab/davidpaulo/i-educar,http://softwarepublico.gov.br/gitlab/davidpaulo/i-educar.git
/gitlab/debrito/spbmobile,http://softwarepublico.gov.br/gitlab/debrito/spbmobile.git
/gitlab/demoiselle/framework,http://softwarepublico.gov.br/gitlab/demoiselle/framework.git
/gitlab/denismarden/i3geo6,http://softwarepublico.gov.br/gitlab/denismarden/i3geo6.git
/gitlab/desoftware/i-educar,http://softwarepublico.gov.br/gitlab/desoftware/i-educar.git
/gitlab/diguliu/noosfero-spb-theme,http://softwarepublico.gov.br/gitlab/diguliu/noosfero-spb-theme.git
/gitlab/diguliu/source-db,http://softwarepublico.gov.br/gitlab/diguliu/source-db.git
/gitlab/diguliu/spb-migration,http://softwarepublico.gov.br/gitlab/diguliu/spb-migration.git
/gitlab/dim/dim,http://softwarepublico.gov.br/gitlab/dim/dim.git
/gitlab/diogoalves/ocr-server,http://softwarepublico.gov.br/gitlab/diogoalves/ocr-server.git
/gitlab/dyeimys/sgf,http://softwarepublico.gov.br/gitlab/dyeimys/sgf.git
/gitlab/e-cidade/e-cidade,http://softwarepublico.gov.br/gitlab/e-cidade/e-cidade.git
/gitlab/e-cidade/modulo-sicom,http://softwarepublico.gov.br/gitlab/e-cidade/modulo-sicom.git
/gitlab/editom/editom,http://softwarepublico.gov.br/gitlab/editom/editom.git
/gitlab/educatux/educatux,http://softwarepublico.gov.br/gitlab/educatux/educatux.git
/gitlab/e-iss/e-iss,http://softwarepublico.gov.br/gitlab/e-iss/e-iss.git
/gitlab/empreendedorismo/empreendedorsimo-digital,http://softwarepublico.gov.br/gitlab/empreendedorismo/empreendedorsimo-digital.git
/gitlab/e-nota/e-nota,http://softwarepublico.gov.br/gitlab/e-nota/e-nota.git
/gitlab/e-proinfo/e-proinfo,http://softwarepublico.gov.br/gitlab/e-proinfo/e-proinfo.git
/gitlab/erp5-br/erp5-br,http://softwarepublico.gov.br/gitlab/erp5-br/erp5-br.git
/gitlab/e-sic-livre/e-sic-livre,http://softwarepublico.gov.br/gitlab/e-sic-livre/e-sic-livre.git
/gitlab/euzebioviana/i-educar,http://softwarepublico.gov.br/gitlab/euzebioviana/i-educar.git
/gitlab/fabiobarr/i-educar,http://softwarepublico.gov.br/gitlab/fabiobarr/i-educar.git
/gitlab/fila/fila,http://softwarepublico.gov.br/gitlab/fila/fila.git
/gitlab/fila/sistema-de-atendimento,http://softwarepublico.gov.br/gitlab/fila/sistema-de-atendimento.git
/gitlab/formdin/formdin,http://softwarepublico.gov.br/gitlab/formdin/formdin.git
/gitlab/fortinux/oficina1,http://softwarepublico.gov.br/gitlab/fortinux/oficina1.git
/gitlab/fujb/smurpsm,http://softwarepublico.gov.br/gitlab/fujb/smurpsm.git
